Date,Price,Buy_Signal,Sell_Signal,DCA_Shares,DCA_Portfolio,DCA_Total_Invested,Dip_Shares,Dip_HYSA_Balance,Dip_Equity,Dip_Total_Value,Dip_Total_Invested,HYSA_Rate_Annual,Dist_From_ATH_Pct,StdDev_100d
2001-02-08,2368.0,False,False,0.08445945945945946,200.0,200.0,0.0,200.0,0.0,200.0,200.0,5.225,,436.59581917198545
2001-02-12,2301.5,False,False,0.1713593073847256,394.383445945946,400.0,0.0,400.0555097075384,0.0,400.0555097075384,400.0,5.205,,429.59229587234256
2001-02-20,2130.0,False,False,0.2652560209997491,564.9953247294656,600.0,0.0,600.334353222632,0.0,600.334353222632,600.0,5.245,,404.6358833452034
2001-02-26,2100.0,False,False,0.36049411623784433,757.0376440994731,800.0,0.0,800.6654524012203,0.0,800.6654524012203,800.0,5.13,,393.63356940180967
2001-03-05,1912.0,False,False,0.4650966266980954,889.2647502467584,1000.0,0.0,1001.2141338823865,0.0,1001.2141338823865,1000.0,5.109999999999999,,402.66714383245466
2001-03-12,1691.0,False,False,0.5833698378157772,986.4783957464792,1200.0,0.0,1201.8843112439,0.0,1201.8843112439,1200.0,5.02,,421.1417496868693
2001-03-19,1756.5,False,False,0.6972326331474026,1224.6891201234125,1400.0,0.0,1402.6801777254598,0.0,1402.6801777254598,1400.0,4.9,,426.95020179731364
2001-03-26,1698.5,False,False,0.8149835898739259,1384.2496274008631,1600.0,0.0,1603.5506589540353,0.0,1603.5506589540353,1600.0,4.61,,435.4527800686608
2001-04-02,1517.0,False,False,0.9468227461033261,1436.3301058387456,1800.0,0.0,1804.557350764219,0.0,1804.557350764219,1800.0,4.71,,426.71403155606095
2001-04-09,1499.5,False,False,1.0802005387008586,1619.7607077819375,2000.0,0.0,2005.6415083827117,0.0,2005.6415083827117,2000.0,4.41,,442.1117884947204
2001-04-16,1628.0,False,False,1.2030506615509815,1958.566477004998,2200.0,0.0,2206.6065804886575,0.0,2206.6065804886575,2200.0,4.609999999999999,,433.49442637073423
2001-04-23,1819.0,False,False,1.3130011838159623,2388.3491533612355,2400.0,0.0,2407.8467311543973,0.0,2407.8467311543973,2400.0,4.03,,422.8891357514151
2001-04-30,1866.5,False,False,1.4201536081395627,2650.7167095924938,2600.0,0.0,2609.1889349490457,0.0,2609.1889349490457,2600.0,4.265,,421.42953862397525
2001-05-07,1903.0,False,False,1.5252508230633672,2902.552316289588,2800.0,0.0,2810.6255132610054,0.0,2810.6255132610054,2800.0,4.06,,396.4671863829851
2001-05-14,1808.0,False,False,1.635870292089916,2957.6534880985682,3000.0,0.0,3012.1541282344715,0.0,3012.1541282344715,3000.0,4.029999999999999,,376.35030485213156
2001-05-21,2052.0,False,False,1.7333361790294872,3556.805839368508,3200.0,0.0,3213.6894521527806,0.0,3213.6894521527806,3200.0,3.795,,370.4282261214159
2001-05-29,1856.5,False,False,1.841065777736732,3417.938616368243,3400.0,0.0,3415.328351780262,0.0,3415.328351780262,3400.0,3.86,,359.87217150917303
2001-06-04,1842.0,False,False,1.9496434107443326,3591.2431625910604,3600.0,0.0,3616.742583586014,0.0,3616.742583586014,3600.0,3.8150000000000004,,355.14864092225406
2001-06-11,1850.5,False,False,2.057722308339577,3807.8151315823875,3800.0,0.0,3818.5684023458416,0.0,3818.5684023458416,3800.0,3.7750000000000004,,335.11070041551125
2001-06-18,1702.5,False,False,2.175196610835906,3703.2722299481297,4000.0,0.0,4020.4799624580055,0.0,4020.4799624580055,4000.0,3.675,,293.1294019768033
2001-06-25,1757.0,False,False,2.289027003550761,4021.820445238687,4200.0,0.0,4222.475066153822,0.0,4222.475066153822,4200.0,3.675,,242.26787354292227
2001-07-02,1842.5,True,False,2.3975751718004217,4417.532254042277,4400.0,2.401395349816924,0.0,4424.570932037682,4424.570932037682,4400.0,3.85,,194.4441505367605
2001-07-09,1700.0,True,False,2.515222230623951,4275.877792060717,4600.0,2.5190424086404533,0.0,4282.372094688771,4282.372094688771,4600.0,3.62,,172.24310346724695
2001-07-16,1709.5,True,False,2.63221550351076,4499.772403251644,4800.0,2.6360356815272623,0.0,4506.302997570855,4506.302997570855,4800.0,3.69,,145.90459092362826
2001-07-23,1642.5,True,False,2.753981104728416,4523.413964516423,5000.0,2.7578012827449183,0.0,4529.6886069085285,4529.6886069085285,5000.0,3.65,,137.56430456495053
2001-07-30,1682.0,True,False,2.872887168937691,4832.196218153196,5200.0,2.876707346954193,0.0,4838.621757576952,4838.621757576952,5200.0,3.64,,134.4376097772333
2001-08-06,1714.5,True,False,2.989539254093713,5125.565051143671,5400.0,2.993359432110215,0.0,5132.114746352963,5132.114746352963,5400.0,3.585,,133.25777190317967
2001-08-13,1656.0,True,False,3.1103122009536164,5150.677004779189,5600.0,3.1141323789701185,0.0,5157.003219574516,5157.003219574516,5600.0,3.58,,133.9770004248278
2001-08-20,1542.0,False,False,3.240013887075536,4996.101413870477,5800.0,3.1141323789701185,200.0,4801.992128371923,5001.992128371923,5800.0,3.49,,139.62354210798878
2001-08-27,1584.0,True,False,3.3662765133381622,5332.181997127649,6000.0,3.366715993059942,0.0,5332.878133006948,5332.878133006948,6000.0,3.455,,135.14382235420723
2001-09-04,1426.5,False,False,3.5064798081155897,5001.993446276889,6200.0,3.366715993059942,200.0,4802.6203641000075,5002.6203641000075,6200.0,3.5149999999999997,,140.68916916806333
